subj	task	Sub-brick	NZMean_1	NZMean_2	NZMean_3	NZMean_4	NZMean_5
1	0	0[Mean]	24.159052	38.323234	32.717324	34.210854	53.775637
1	13	0[Mean]	23.007663	38.861599	33.544889	35.955144	56.028955
1	20	0[Mean]	23.800311	37.890909	32.768945	34.594990	58.061873
1	6	0[Mean]	24.086842	39.128451	33.613250	35.610170	58.329161
1	-13	0[Mean]	27.868784	39.361064	34.068909	35.773764	56.070209
1	-19	0[Mean]	27.766498	39.115060	33.719920	34.430716	54.739243
1	-26	0[Mean]	27.684574	38.834439	33.707436	33.448366	54.810684
1	-33	0[Mean]	27.777658	37.970109	33.879448	34.037322	52.029373
1	-39	0[Mean]	28.856298	38.966469	34.314228	35.962220	53.622005
1	-6	0[Mean]	26.131251	38.486420	32.765331	33.503701	53.556043
2	0	0[Mean]	24.512510	36.444227	34.789320	33.386681	61.802727
2	13	0[Mean]	22.958604	34.638217	33.692570	31.863642	57.706276
2	20	0[Mean]	22.813696	33.741515	32.520829	31.135476	55.675176
2	6	0[Mean]	23.153008	34.618164	33.626656	31.983755	57.095181
2	-13	0[Mean]	25.976550	35.776530	34.255837	31.761665	59.084991
2	-19	0[Mean]	26.991174	36.777490	34.790303	33.770163	58.965977
2	-26	0[Mean]	26.771630	35.127715	33.630546	31.640124	52.749401
2	-33	0[Mean]	26.206311	34.376515	33.151930	30.316332	50.084833
2	-39	0[Mean]	26.459136	34.377280	33.287269	31.366056	49.786260
2	-6	0[Mean]	24.837563	34.325936	33.207555	31.321328	53.391026
1iso3d	-13	0[Mean]	23.104819	29.987415	24.830653	29.273600	36.115641
1iso3d	-33	0[Mean]	23.209663	28.587479	25.082821	28.414665	37.204513
1iso3d	-40	0[Mean]	21.635460	27.465641	23.716611	28.144550	37.592685
1iso3d	13	0[Mean]	19.893169	29.514179	23.933887	28.733393	38.691661
1iso3d	20	0[Mean]	18.717837	29.382534	23.260009	28.292844	40.980658
