subj	task	Sub-brick	NZMean_1	NZMean_2	NZMean_3
1	0	0[Mean]	47.507696	43.287297	41.081258
1	13	0[Mean]	48.967290	44.873363	42.345607
1	20	0[Mean]	47.524872	44.496510	40.800541
1	6	0[Mean]	49.504457	44.428807	43.043735
1	-13	0[Mean]	49.106595	43.952490	42.610520
1	-19	0[Mean]	47.728719	43.428627	41.505904
1	-26	0[Mean]	46.674292	43.502771	40.690268
1	-33	0[Mean]	45.836631	43.124366	39.856081
1	-39	0[Mean]	47.135684	43.804349	41.896600
1	-6	0[Mean]	47.409887	43.155255	41.061360
2	0	0[Mean]	46.767141	41.011710	42.721344
2	13	0[Mean]	43.850099	40.217329	39.218046
2	20	0[Mean]	42.346279	39.336720	37.872645
2	6	0[Mean]	43.397572	39.856234	38.970704
2	-13	0[Mean]	45.376439	40.036482	41.712897
2	-19	0[Mean]	46.155109	40.711441	42.448496
2	-26	0[Mean]	43.214385	39.406456	39.303072
2	-33	0[Mean]	41.475179	38.535639	37.765162
2	-39	0[Mean]	41.648373	38.503580	38.390154
2	-6	0[Mean]	42.482581	39.050158	38.580659
1iso3d	-13	0[Mean]	33.175839	31.207217	33.509608
1iso3d	-33	0[Mean]	33.031874	30.599821	33.267710
1iso3d	-40	0[Mean]	32.156307	29.949950	32.576776
1iso3d	13	0[Mean]	32.849314	31.675209	33.834068
1iso3d	20	0[Mean]	32.170550	31.205487	33.786625
